,CountryName,CountryCode,Date,DRICs,A1,A2,A3,A4,M1,M2,M3,M4,P1
1,Brazil,BRA,20200605,1.000814838,0.833333333,0.5,0.75,0.875,0.75,0.5,0.75,1,0
2,Belarus,BLR,20200515,1.01834699,0,0,0,0,0,0,0,0.75,1
3,Czech Republic,CZE,20200328,1.023829608,1,1,1,1,0,0.666666667,0.75,1,1
4,Kenya,KEN,20200607,1.026833631,1,0.666666667,1,1,0.75,1,1,1,0.5
5,Iceland,ISL,20200328,1.035947712,0.666666667,0.666666667,1,0.75,0,0,0,0.75,1
6,Romania,ROU,20200410,1.043912492,1,0.666666667,1,1,0.75,0.666666667,0.75,1,0.5
7,Turkey,TUR,20200413,1.060222864,1,0.666666667,1,0,0.5,0.666666667,1,1,0.5
8,Italy,ITA,20200323,1.067316284,1,1,1,1,0.5,1,1,0.75,1
9,Sweden,SWE,20200605,1.07175713,0.333333333,0.333333333,0.5,0.75,0,0,0.5,0.75,0.5
10,Haiti,HTI,20200601,1.071985042,1,0.666666667,1,1,0.75,0.333333333,0.75,1,0
11,United Kingdom,GBR,20200412,1.075728866,1,0.666666667,1,1,0.5,0.666666667,1,0,0
12,Belgium,BEL,20200410,1.08453932,0.666666667,1,1,1,0,0.666666667,1,1,0.5
13,Madagascar,MDG,20200601,1.087719298,0.833333333,0.5,0.75,0.75,0.25,0.5,0.75,1,0.5
14,United States,USA,20200409,1.099162847,0.833333333,0.833333333,0.75,0.875,0.25,0.5,0.75,0.75,0.5
15,Democratic Republic of Congo,COD,20200604,1.105643341,1,0.5,1,0.75,0.75,0.5,0.75,1,0.5
16,Qatar,QAT,20200529,1.108307692,1,0.666666667,1,1,1,0.333333333,0.5,1,1
17,Russia,RUS,20200510,1.118325562,0.833333333,1,1,1,0.25,0.833333333,0.75,1,1
18,Spain,ESP,20200326,1.11968193,1,0.666666667,1,0.125,0.5,0.666666667,0.5,1,0.5
19,Netherlands,NLD,20200411,1.140006633,1,1,1,0.75,0.5,0.666666667,0.5,0.75,0.5
20,Afghanistan,AFG,20200604,1.146111682,1,0.833333333,1,1,0.75,0.5,0.75,0.75,0.5
21,Vietnam,VNM,20200325,1.165775401,1,0.5,0.75,0,0,0,0.75,1,1
22,Venezuela,VEN,20200603,1.173659055,1,0.666666667,1,1,0.5,0.666666667,0.5,1,0
23,United Arab Emirates,ARE,20200521,1.176740401,1,0.5,1,1,0.5,0,0.5,1,1
24,Malaysia,MYS,20200404,1.193721286,1,1,1,0.5,0,0.333333333,1,0.75,1
25,Iran,IRN,20200330,1.197831497,1,0.833333333,1,0,0.75,0.333333333,1,0,0
26,Switzerland,CHE,20200329,1.19808287,1,1,1,1,0,0.666666667,0.5,0.75,0.5
27,Thailand,THA,20200323,1.205311542,1,0.5,0.75,0.625,0,0.333333333,0,0.5,0.5
28,Philippines,PHL,20200531,1.210362798,1,0.666666667,1,1,0.5,0.333333333,0.5,1,1
29,France,FRA,20200401,1.213774064,1,1,1,1,0.5,0.666666667,1,1,0.5
30,Norway,NOR,20200327,1.219593787,1,0.333333333,1,1,0.5,0,1,1,0
31,Morocco,MAR,20200419,1.225311943,1,1,1,0.75,1,0.666666667,1,1,0
32,Kuwait,KWT,20200520,1.229714204,1,1,1,1,1,1,1,1,1
33,Australia,AUS,20200325,1.236700649,0.833333333,0.5,0.75,0.625,0,0.333333333,0.75,1,0.5
34,Cuba,CUB,20200419,1.24168798,1,1,1,0,1,0.5,1,1,0.5
35,Slovenia,SVN,20200328,1.245639535,1,1,1,1,1,0.333333333,0,0.75,1
36,Luxembourg,LUX,20200326,1.246109746,1,1,1,1,0.5,0.666666667,1,0,1
37,Cyprus,CYP,20200402,1.272189349,1,0.666666667,1,1,1,0.666666667,1,1,0.5
38,Chad,TCD,20200508,1.280182232,1,1,1,0.75,1,0.5,0.75,1,0.5
39,Germany,DEU,20200402,1.283654273,1,0.333333333,1,1,0,0.5,0.75,1,0.5
40,Somalia,SOM,20200601,1.319949812,1,0,1,0,0,0.333333333,0,1,0
41,Austria,AUT,20200325,1.32518361,1,1,1,1,0.5,0.666666667,0.75,0.75,0.5
42,Canada,CAN,20200502,1.328478898,1,0.833333333,0.75,0.875,0,0.333333333,0.75,1,0.5
43,Croatia,HRV,20200330,1.333996024,1,1,1,1,1,0.666666667,1,1,1
44,Poland,POL,20200608,1.340664447,0.666666667,0.666666667,0.5,0.5,0.5,0,0,1,1
45,Guinea,GIN,20200429,1.340715503,1,0.666666667,1,0.75,0.25,0.666666667,0.75,1,0.5
46,Senegal,SEN,20200513,1.349701393,1,0,1,0.5,0,1,1,1,1
47,Kosovo,RKS,20200416,1.356060606,1,0.666666667,1,1,1,0.666666667,1,1,0.5
48,Japan,JPN,20200413,1.356214127,0.833333333,0.333333333,0.5,0,0,0.166666667,0.5,0.75,0.5
49,Tajikistan,TJK,20200523,1.359938603,0.666666667,0.5,1,0,0,0.166666667,0,1,0.5
50,Peru,PER,20200529,1.362745213,1,0.666666667,1,1,0.75,0.666666667,1,1,0.5
51,Sudan,SDN,20200520,1.368769606,1,0.833333333,1,0.75,1,0.5,0.75,1,0.5
